"TYPE"	"WORD"	"VALUE"
"wirksam"	"wirksamere"	0.004
"wirksam"	"wirksamstem"	0.004
"wirksam"	"wirksamsten"	0.004
"wirksam"	"wirksames"	0.004
"wirksam"	"wirksamste"	0.004
"wirksam"	"wirksame"	0.004
"wirksam"	"willkommner"	0.004
"wirksam"	"willkommenste"	0.004
"wirksam"	"willkommenst"	0.004
"wirksam"	"willkommneres"	0.004
"wirksam"	"willkommenem"	0.004
"wirksam"	"willkommnerer"	0.004
"Wirksamkeit"	"Wirksamkeit"	0.004
"Wirksamkeit"	"Wirksamkeiten"	0.004
"wirkungslos"	"wirkungslos"	-0.0048
"wirkungslos"	"wirkungslosere"	-0.0048
"wirkungslos"	"wirkungslosesten"	-0.0048
"wirkungslos"	"wirkungslosestem"	-0.0048
"wirkungslos"	"wirkungsloseres"	-0.0048
"wirkungslos"	"wirkungsloses"	-0.0048
"wirkungslos"	"wirkungsloserer"	-0.0048
"wirkungslos"	"wirkungsloser"	-0.0048
"wirkungslos"	"wirkungslosem"	-0.0048
"wirkungslos"	"wirkungslosen"	-0.0048
"wirkungslos"	"wirkungslosester"	-0.0048
"wirkungslos"	"wirkungsloseste"	-0.0048
"wirkungslos"	"wirkungsloseren"	-0.0048
"wirkungslos"	"wirkungslosestes"	-0.0048
"wirkungslos"	"wirkungslose"	-0.0048
"wirkungslos"	"wirkungsloserem"	-0.0048
"wirkungsvoll"	"wirkungsvoll"	0.004
"wirkungsvoll"	"wirkungsvollere"	0.004
"wirkungsvoll"	"wirkungsvolle"	0.004
"wirkungsvoll"	"wirkungsvolles"	0.004
"wirkungsvoll"	"wirkungsvoller"	0.004
"wirkungsvoll"	"wirkungsvollem"	0.004
"wirkungsvoll"	"wirkungsvollste"	0.004
"wirkungsvoll"	"wirkungsvollerem"	0.004
"wirkungsvoll"	"wirkungsvollen"	0.004
"wirkungsvoll"	"wirkungsvolleren"	0.004
"wirkungsvoll"	"wirkungsvollsten"	0.004
